timestamp_now,actual_temp_now,forecast_for_tomorrow,forecast_target_time
2025-11-05 12:00:00,28.0,27.18,
2025-11-06 12:00:00,25.7,24.42,
2025-11-07 12:00:00,26.2,24.83,
2025-11-08 12:00:00,25.5,25.12,
2025-11-09 12:00:00,26.3,27.51,
2025-11-10 12:00:00,26.3,25.52,
2025-11-11 12:00:00,26.3,25.13,
2025-11-12 12:00:00,26.0,25.45,
2025-11-13 12:00:00,25.7,24.51,
2025-11-14 12:00:00,25.9,26.73,
2025-11-15 12:00:00,26.5,25.42,
2025-11-16 12:00:00,26.7,27.76,
2025-11-17 12:00:00,25.1,24.41,
2025-11-18 12:00:00,25.0,24.03,
2025-11-19 12:00:00,25.1,25.43,
